open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1781913600000,63512.50,63757.20,63283.50,63440.50,12770.433,1781927999999,810784555.35180,330207,6284.074,399037221.63670,0
1781928000000,63440.50,63894.00,63367.60,63625.00,14008.791,1781942399999,891944262.15720,300243,7590.114,483318811.78490,0
1781942400000,63625.00,63770.00,63360.00,63651.30,12183.381,1781956799999,774382419.84370,248795,5760.456,366189130.40300,0
1781956800000,63651.40,64370.90,63136.20,64139.50,36115.681,1781971199999,2303011103.86080,682099,18828.727,1201164210.30820,0
1781971200000,64139.40,64150.00,63661.90,63905.50,13002.244,1781985599999,830744085.37020,352380,6243.040,398948246.52540,0
1781985600000,63905.50,64326.00,63820.00,64270.00,7596.166,1781999999999,487059873.17360,233576,4206.787,269737810.32780,0
