open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1777806000000,2310.53,2327.29,2309.25,2318.87,143320.649,1777809599999,332550187.02761,146930,82270.164,190909768.99492,0
1777809600000,2318.88,2332.17,2318.88,2324.58,119894.328,1777813199999,278837225.87161,133930,69240.409,161044514.19236,0
1777813200000,2324.57,2327.93,2319.34,2320.99,61463.853,1777816799999,142808144.96925,77907,26117.319,60687792.55840,0
1777816800000,2320.99,2328.90,2320.00,2327.27,52130.667,1777820399999,121163822.56562,76021,26811.696,62318757.35204,0
1777820400000,2327.26,2333.00,2323.67,2327.23,70857.136,1777823999999,164963586.25012,93740,35260.343,82101969.89111,0
1777824000000,2327.23,2334.27,2321.24,2327.26,69621.402,1777827599999,162048646.71355,92194,34781.606,80965884.40679,0
1777827600000,2327.26,2334.42,2322.72,2330.63,66451.477,1777831199999,154833045.56226,85305,31483.574,73354123.96627,0
1777831200000,2330.63,2332.70,2326.94,2329.79,32388.549,1777834799999,75457662.61636,45771,14647.456,34127429.20182,0
1777834800000,2329.79,2337.16,2327.15,2334.60,43003.923,1777838399999,100318430.01549,61305,22305.469,52038633.68977,0
1777838400000,2334.60,2344.25,2326.80,2328.39,123711.769,1777841999999,289000311.16417,159280,67131.038,156870501.91770,0
1777842000000,2328.39,2333.22,2313.11,2323.22,105309.483,1777845599999,244678335.91889,141619,48981.801,113846057.09659,0
1777845600000,2323.23,2356.75,2323.16,2342.88,351490.210,1777849199999,823429302.88575,400859,205282.894,480939688.79412,0
1777849200000,2342.89,2346.66,2318.14,2321.67,157159.307,1777852799999,365998888.79136,233293,67005.973,156041412.10525,0
1777852800000,2321.67,2321.67,2308.10,2318.01,177404.423,1777856399999,410573213.80087,241786,83460.207,193156027.99851,0
1777856400000,2318.02,2353.63,2311.55,2350.48,285706.588,1777859999999,666710192.37768,365022,153949.719,359335461.37977,0
1777860000000,2350.48,2387.00,2343.87,2373.81,611284.367,1777863599999,1447053786.70735,687794,332430.632,786893201.96134,0
1777863600000,2373.81,2391.62,2370.66,2384.08,225147.367,1777867199999,536149790.92752,297036,119582.509,284848309.93030,0
1777867200000,2384.07,2398.88,2383.39,2389.23,252665.444,1777870799999,604146781.54753,287818,140797.467,336771095.63590,0
1777870800000,2389.22,2390.42,2374.21,2375.23,160612.055,1777874399999,382373435.71501,175884,74608.013,177595455.75584,0
1777874400000,2375.23,2377.63,2353.00,2367.31,246157.369,1777877999999,582083259.39247,270668,120616.540,285211606.10012,0
1777878000000,2367.32,2372.74,2361.42,2361.79,91513.442,1777881599999,216623771.99052,130131,45428.640,107548126.59680,0
